77	Awesome		 - Version 1.0.0	 - February 16, 2010
77	great app, works as advertised. would've even paid more it.	 - HTC Nexus One 	 1.0.0	 - February 14, 2010
77	Great love the race feature, keeps you pusging yourself, top stuff	 - SEMC Xperia Arc 	 1.0.0	 - December 28, 2010
77	Great motivator	 - Motorola Droid 	 1.0.0	 - May 18, 2010
77	Love it	 - Motorola Droid X 	 1.0.0	 - October 15, 2011
77	Love Love Love This App!!!!!!!	 - Motorola Droid X 	 1.0.0	 - April 18, 2011
77	Love it	 - HTC Desire S 	 1.0.0	 - March 2, 2012
77	Top add on. Does exactly what it says it should		 - Version 1.0.0	 - January 28, 2011
77	Love it. Droid	 - Motorola Droid 	 1.0.0	 - April 7, 2010
77	Love this feature. Its super encouraging.		 - Version 1.0.0	 - March 16, 2010
77	App is not working	 - HTC Evo 4G 	 1.0.0	 - June 26, 2011
77	Ace. Great incentive to push yourself	 - HTC Desire 	 1.0.0	 - March 13, 2010
77	Great application.	 - HTC Desire 	 1.0.0	 - December 30, 2011
77	Simply awesome! 10 Stars!	 - Motorola Droid 	 1.0.0	 - March 11, 2010
77	This app works great!	 - Motorola Droid 	 1.0.0	 - March 6, 2010
77	The best	 - HTC Nexus One 	 1.0.0	 - May 11, 2010
77	Great plugin		 - Version 1.0.0	 - May 1, 2010
77	Couldnt be better	 - Samsung Galaxy S 	 1.0.0	 - July 13, 2011
77	Love Noom, even the workout software. but this plugin doesn't show me any tracks ...		 - HTC Evo 4G	 - January 12, 2012
77	After just one use, I already love it. Agree w/ previous posting - it ...	 - HTC G1  	 1.0.0	 - February 13, 2010
77	I like it, racing my self is awesome. I can't beat myself yet. I'm ...	 - HTC Evo 4G 	 1.0.0	 - November 20, 2009
77	Wow, makes the phone an amazing training tool! Just finished my first race against ...		 - Version 1.0.0	 - November 17, 2009
77	Pretty good software, but the GPS application does some wacky stuff-plotting ...		 - Version 1.0.0	 - April 27, 2009
77	Brilliant, main software's still free, this add on is an excellent idea and works ...		 - Version 1.0.0	 - March 25, 2009
77	I've used this app for a month and it is hands down neater than ...	 - HTC myTouch 3G 	 1.0.0	 - September 3, 2009
77	Works perfect. Great tool in improving cardio. Would love to see a ghost figure ...	 - Motorola Droid 	 1.0.0	 - December 17, 2009
77	Great, fun add-on for CardioTrainer, well worth the modest cost. Small bugs in ...		 - Version 1.0.0	 - August 27, 2009
77	I think it is great , the only slighty downside is that it does ...	 - HTC G1  	 1.0.0	 - April 2, 2009
77	Sofa king awesome! What an incredible tool for achieving results and pushing ...	 - Motorola XOOM 	 1.0.0	 - June 5, 2009
77	Not perfect because of the g1 gps, but man does it make me run ...	 - HTC Nexus One 	 1.0.0	 - July 9, 2009
77	Needs ghost displayed on track plus map zoom excellen though well worth the money ...		 - Version 1.0.0	 - June 24, 2009
77	Does exactly what it claims. Great motivational tool. Well implemented.		 - Version 1.0.0	 - July 11, 2009
77	Very useful. I wish I could name the tracks - otherwise it's perfect.		 - Version 1.0.0	 - August 9, 2009
77	Great tool. Small price to pay for such a great workout buddy.	 - HTC myTouch 3G 	 1.0.0	 - September 3, 2009
77	Excellent!! It would be nice to ditch the price label on the button after ...	 - HTC Nexus One 	 1.0.0	 - October 10, 2009
77	Awsome add on to an awsome app i am able to push myself so ...		 - Version 1.0.0	 - November 6, 2009
77	Worth the money if you're tired of running without a buddy.		 - Version 1.0.0	 - June 22, 2009
77	Love it...very easy to use and helps achieve goals fastee...	 - HTC Evo 4G 	 1.0.0	 - October 17, 2009
77	Awesome feature. Great motivator, smashed my pb 3 times in a row using this ...	 - HTC Nexus One 	 1.0.0	 - July 30, 2009
77	Does what others do for 150 plus dollars...if you run, this is a must ...		 - Version 1.0.0	 - May 16, 2009
77	Love it. A must have for anyone trying to stay in shape.	 - HTC myTouch 3G 	 1.0.0	 - June 21, 2009
77	Would be 5 if...... Please fix indoor workout mode. Does not seem accurate. I ...		 - Version 1.0.0	 - November 18, 2009
77	The daily reminder keeps me motivated and the program lets me know if my ...	 - Motorola CLIQ  	 1.0.0	 - December 8, 2009
